isDlc,Area,BossName,IsInitializeDeadSet,NpcParamIds,BlockId,FirstEncounterFlags,BossFlags,Coords,Angle,CoordsFE,Angle,ShouldSetNight,BossBlockId
FALSE,Weeping Peninsula,Deathbird,TRUE,49800012,1009524736,,1044320800:FALSE|1044327400:FALSE,-86.94|50.65|39.10|1,0.45,-86.94|50.65|39.10|1,0.45,TRUE,1009524736
FALSE,Weeping Peninsula,Erdtree Avatar,TRUE,48100012,1009459456,,1043330800:FALSE|65090:FALSE|65080:FALSE,-43.50|82.93|63.67|1,0.23,-43.50|82.93|63.67|1,0.23,FALSE,1009459456
FALSE,Weeping Peninsula,Erdtree Burial Watchdog,FALSE,42600512,503382016,,30010800:FALSE|9201:FALSE|520010:FALSE,-48.33|23.44|-130.85|1,-0.51,-48.33|23.44|-130.85|1,-0.51,FALSE,503382016
FALSE,Weeping Peninsula,Leonine Misbegotten,FALSE,34600913,1009458688,,1043300800:FALSE|9180:FALSE|510800:FALSE|76161:FALSE,-12.57|-0.00|37.03|1,-0.15,-12.57|-0.00|37.03|1,-0.15,FALSE,1009458688
FALSE,Weeping Peninsula,Miranda Blossom,FALSE,44800912,520224768,,31020800:FALSE|9230:FALSE|520300:FALSE,-295.25|-28.28|-25.62|1,1.55,-295.25|-28.28|-25.62|1,1.55,FALSE,520224768
FALSE,Weeping Peninsula,Night's Cavalry,TRUE,31501012,1009524992,,1044320850:FALSE|1044327410:FALSE,40.03|36.12|-71.03|1,0.08,40.03|36.12|-71.03|1,0.08,TRUE,1009524992
FALSE,Weeping Peninsula,Runebear,FALSE,46300912,520159232,31010801:FALSE,31010800:FALSE|9231:FALSE|520310:FALSE,-149.44|-40.50|-123.33|1,1.01,-149.44|-40.50|-123.33|1,1.01,FALSE,520159232
FALSE,Weeping Peninsula,Scaly Misbegotten,FALSE,34510912,536870912,32000590:FALSE|32000801:FALSE,32000800:FALSE|9260:FALSE|520600:FALSE,87.80|-24.20|-55.85|1,3.1,87.80|-24.20|-55.85|1,3.1,FALSE,536870912
FALSE,Liurnia of the Lakes,Adan Thief of Fire,FALSE,523560020,1009394688,,1038410800:FALSE|530245:FALSE,-25.43|95.18|127.63|1,-0.24,-25.43|95.18|127.63|1,-0.24,FALSE,1009394688
FALSE,Liurnia of the Lakes,Alecto Black Knife Ringleader,FALSE,21002922,1008806400,,1033420800:FALSE|530265:FALSE,-30.77|345.36|67.15|1,2.14,-30.77|345.36|67.15|1,2.14,FALSE,1008806400
FALSE,Liurnia of the Lakes,Bell Bearing Hunter,TRUE,31000042,1009069568,,1037460800:FALSE|1037467400:FALSE,-32.12|397.94|13.23|1,1.4,-32.12|397.94|13.23|1,1.4,TRUE,1009069568
FALSE,Liurnia of the Lakes,Black Knife Assaassin,FALSE,21000830,503644160,,30050850:FALSE|9221:FALSE|520210:FALSE,-220.75|411.51|17.12|1,1.45,-220.75|411.51|17.12|1,1.45,FALSE,503644160
FALSE,Liurnia of the Lakes,Bloodhound Knight,FALSE,42900920,520421376,31050801:FALSE,31050800:FALSE|9237:FALSE|520370:FALSE,-161.65|154.66|6.04|1,0.19,-161.65|154.66|6.04|1,0.19,FALSE,520421376
FALSE,Liurnia of the Lakes,Bols Carian Knight,FALSE,46010920,1008807168,,1033450800:FALSE|530250:FALSE,-27.69|243.03|-38.05|1,1.52,-27.69|243.03|-38.05|1,1.52,FALSE,1008807168
FALSE,Liurnia of the Lakes,Cemetery Shade,FALSE,36640040,503644160,,30050800:FALSE|9205:FALSE|520050:FALSE,-165.18|406.55|120.58|1,1.65,-165.18|406.55|120.58|1,1.65,FALSE,503644160
FALSE,Liurnia of the Lakes,Cleanrot Knight,FALSE,38000920,520355840,,31040800:FALSE|9236:FALSE|520360:FALSE,60.09|200.65|-165.59|1,-1.79,60.09|200.65|-165.59|1,-1.79,FALSE,520355840
FALSE,Liurnia of the Lakes,Crystalian Duo Spear & Staff,TRUE,33500930|33501930,520486912,,31060800:FALSE|9238:FALSE|520380:FALSE,163.71|216.60|101.76|1,-1.63,163.71|216.60|101.76|1,-1.63,FALSE,520486912
FALSE,Liurnia of the Lakes,Death Rite Bird,TRUE,49801020,1009003776,,1036450800:FALSE|1036457400:FALSE,-35.33|237.66|-6.22|1,2.36,-35.33|237.66|-6.22|1,2.36,TRUE,1009003776
FALSE,Liurnia of the Lakes,Deathbird,TRUE,49800020,1009068800,,1037420800:FALSE|1037427400:FALSE,-123.38|237.66|-120.99|1,-0.99,-123.38|237.66|-120.99|1,-0.99,TRUE,1009068800
FALSE,Liurnia of the Lakes,Erdtree Avatar Southwest Liurnia,TRUE,48100920,1008806656,,1033430800:FALSE|65040:FALSE|65160:FALSE,60.53|284.65|-3.74|1,2.63,60.53|284.65|-3.74|1,2.63,FALSE,1008806656
FALSE,Liurnia of the Lakes,Erdtree Avatar Northeast Liurnia,TRUE,48100020,1009135616,,1038480800:FALSE|65290:FALSE|65300:FALSE|65310:FALSE,20.92|409.59|-89.99|1,1.33,20.92|409.59|-89.99|1,1.33,FALSE,1009135616
FALSE,Liurnia of the Lakes,Erdtree Burial Watchdog,FALSE,42601920,503709696,,30060800:FALSE|9207:FALSE|520070:FALSE,18.78|194.62|5.14|1,-0.11,18.78|194.62|5.14|1,-0.11,FALSE,503709696
FALSE,Liurnia of the Lakes,Glintstone Dragon Adula,FALSE,45021922,1008937472,,1034420800:FALSE|530260:FALSE,-108.71|404.60|5.55|1,0.75,-108.71|404.60|5.55|1,0.75,FALSE,1008937472
FALSE,Liurnia of the Lakes,Glintstone Dragon Smarag,FALSE,45020920,1008872704,,1034450800:FALSE|530210:FALSE,-28.25|237.66|8.94|1,2.63,-28.25|237.66|8.94|1,2.63,FALSE,1008872704
FALSE,Liurnia of the Lakes,Grafted Scion,TRUE,46900008,167837696,10010801:FALSE,10010800:FALSE|9103:FALSE|510030:FALSE,-18.43|21.44|-35.56|1,1.39,-33.27|21.37|-87.86|1,2.92,FALSE,167837696
FALSE,Liurnia of the Lakes,Magma Wyrm Makar,TRUE,49100026,655622144,39200801:FALSE,39200800:FALSE|9126:FALSE|510260:FALSE,-42.37|351.53|-1345.61|1,1.97,-42.37|351.53|-1345.61|1,1.97,FALSE,655622144
FALSE,Liurnia of the Lakes,Night's Cavalry,TRUE,31500020,1009134336,,1039430800:FALSE|1039437400:FALSE,104.96|255.77|9.40|1,-1.19,104.96|255.77|9.40|1,-1.19,TRUE,1009134336
FALSE,Liurnia of the Lakes,Night's Cavalry,TRUE,31500020,1009004544,,1036480800:FALSE|1036487400:FALSE,30.83|323.72|-26.14|1,2.57,30.83|323.72|-26.14|1,2.57,TRUE,1009004544
FALSE,Liurnia of the Lakes,Omenkiller,FALSE,48200920,1008937472,,1035420800:FALSE|530225:FALSE,-91.18|281.30|-22.80|1,-1.33,-91.18|281.30|-22.80|1,-1.33,FALSE,1008937472
FALSE,Liurnia of the Lakes,Onyx Lord,FALSE,36001920,1009005056,,1036500800:FALSE|530255:FALSE,94.93|378.24|17.17|1,-1.35,94.93|378.24|17.17|1,-1.35,FALSE,1009005056
FALSE,Liurnia of the Lakes,Red Wolf of Radagon,FALSE,31811024,234881024,14000851:FALSE,14000850:FALSE|9117:FALSE|60440:FALSE|71401:FALSE,116.19|110.49|-224.92|1,-1.51,116.19|110.49|-224.92|1,-1.51,FALSE,234881024
FALSE,Liurnia of the Lakes,Rennala Queen of the Full Moon,TRUE,20310024,234881024,14008556:FALSE|14000801:FALSE,14000800:FALSE|177:FALSE|197:FALSE|61118:FALSE|14000804:FALSE|14003915:FALSE|9118:FALSE|14000702:FALSE|14002800:FALSE,92.89|154.06|-44.76|1,1.89,92.89|154.06|-44.76|1,1.89,FALSE,234881024
FALSE,Liurnia of the Lakes,Royal Knight Loretta,FALSE,32520921,1008939520,1035500801:FALSE,1035500800:FALSE|9181:FALSE|510810:FALSE|76232:FALSE,7.97|429.77|83.86|1,2.13,7.97|429.77|83.86|1,2.13,FALSE,1008939520
FALSE,Liurnia of the Lakes,Royal Revenant,FALSE,40200920,1008873472,,1034480800:FALSE,53.78|252.21|93.66|1,0.41,53.78|252.21|93.66|1,0.41,FALSE,1008873472
FALSE,Liurnia of the Lakes,Spiritcaller Snail,FALSE,41402920,503513088,,30030800:FALSE|9206:FALSE|520060:FALSE,80.45|193.84|-5.37|1,3.14,80.45|193.84|-5.37|1,3.14,FALSE,503513088
FALSE,Liurnia of the Lakes,Tibia Mariner,FALSE,49500010,1009199872,,1039440800:FALSE|530240:FALSE,-61.59|305.18|116.16|1,-3.14,-61.59|305.18|116.16|1,-3.14,FALSE,1009199872
FALSE,Altus Plateau,Ancient Dragon Lansseax,FALSE,45102030,1009332992,,1041520800:FALSE|530300:FALSE,29.88|917.92|118.46|1,-2.73,29.88|917.92|118.46|1,-2.73,FALSE,1009332992
FALSE,Altus Plateau,Ancient Hero of Zamor,FALSE,71000030,503840768,,30080800:FALSE|9208:FALSE|520080:FALSE,302.89|742.52|18.24|1,-1.45,302.89|742.52|18.24|1,-1.45,FALSE,503840768
FALSE,Altus Plateau,Bell Bearing Hunter,TRUE,31000020,1009464576,,1043530800:FALSE|1043537400:FALSE,-3.67|993.12|5.72|1,1.07,-3.67|993.12|5.72|1,1.07,TRUE,1009464576
FALSE,Altus Plateau,Black Knife Assassin (Sage's Cave),FALSE,21001010,521338880,,31190800:FALSE|9242:FALSE|520420:FALSE,147.91|625.75|-43.99|1,2.94,147.91|625.75|-43.99|1,2.94,FALSE,521338880
FALSE,Altus Plateau,Black Knife Assassin (Sainted Hero's Grave),FALSE,21000930,1009267712,,1040520800:FALSE|530350:FALSE,100.08|885.49|6.59|1,1.59,100.08|885.49|6.59|1,1.59,FALSE,1009267712
FALSE,Altus Plateau,Crucible Knight & Crucible Knight Ordovis,TRUE,25001933|25000933,503971840,,30100800:FALSE|9210:FALSE|520100:FALSE,-104.09|761.76|319.38|1,3.09,-104.09|761.76|319.38|1,3.09,FALSE,503971840
FALSE,Altus Plateau,Crystalians Duo Spear & Ringblade,TRUE,33501920|33502920,537198592,32058590:FALSE|32050801:FALSE,32050800:FALSE|9265:FALSE|520650:FALSE,55.84|778.10|-14.51|1,-0.17,55.84|778.10|-14.51|1,-0.17,FALSE,537198592
FALSE,Altus Plateau,Demi-Human Queen Gilika,FALSE,41301030,1009136384,,1038510800:FALSE,-46.99|770.80|15.10|1,-0.79,-46.99|770.80|15.10|1,-0.79,FALSE,1009136384
FALSE,Altus Plateau,Elemer of the Briar,FALSE,31000931,1009202688,,1039540800:FALSE|9182:FALSE|510820:FALSE|76322:FALSE,-28.42|768.31|55.91|1,1.62,-28.42|768.31|55.91|1,1.62,FALSE,1009202688
FALSE,Altus Plateau,Erdtree Burial Watchdog,FALSE,42602932,503775232,,30070800:FALSE|9212:FALSE|520120:FALSE,-127.05|820.84|201.82|1,3.14,-127.05|820.84|201.82|1,3.14,FALSE,503775232
FALSE,Altus Plateau,Fallingstar Beast,TRUE,46801940,1009332992,,1041500800:FALSE|530310:FALSE,60.58|841.78|-99.15|1,0.36,60.58|841.78|-99.15|1,0.36,FALSE,1009332992
FALSE,Altus Plateau,Godefroy the Grafted,FALSE,47500030,1009201664,,1039500800:FALSE|1039507100:FALSE,-64.52|708.50|-76.21|1,0.1,-64.52|708.50|-76.21|1,0.1,FALSE,1009201664
FALSE,Altus Plateau,Godskin Apostle,FALSE,35600030,1009399552,,1042550800:FALSE|530325:FALSE|76313:FALSE,-48.25|969.12|-23.98|1,-0.67,-48.25|969.12|-23.98|1,-0.67,FALSE,1009399552
FALSE,Altus Plateau,Necromancer Garris,FALSE,523760930,521338880,,31190850:FALSE|9249:FALSE|520490:FALSE,114.31|628.38|-69.34|1,3.08,114.31|628.38|-69.34|1,3.08,FALSE,521338880
FALSE,Altus Plateau,Night's Cavalry,TRUE,31501030,1009201920,,1039510800:FALSE|1039517200:FALSE,-7.42|751.93|-52.74|1,0,-7.42|751.93|-52.74|1,0,TRUE,1009201920
FALSE,Altus Plateau,Omenkiller & Miranda the Blighted Bloom,TRUE,44800930|48200930,521273344,,31180800:FALSE|9241:FALSE|520410:FALSE,-64.37|790.75|190.36|1,1.49,-64.37|790.75|190.36|1,1.49,FALSE,521273344
FALSE,Altus Plateau,Perfumer Tricia & Misbegotten Warrior,TRUE,34600930|37011930,504102912,,30120800:FALSE|9211:FALSE|520110:FALSE,5.51|618.64|218.61|1,-2.95,5.51|618.64|218.61|1,-2.95,FALSE,504102912
FALSE,Altus Plateau,Sanguine Noble,FALSE,35500930,1009267968,,1040530800:FALSE,-79.14|802.27|58.34|1,2.24,-79.14|802.27|58.34|1,2.24,FALSE,1009267968
FALSE,Altus Plateau,Stonedigger Troll,FALSE,46030930,537133056,,32040800:FALSE|9263:FALSE|520630:FALSE,-284.36|678.15|-98.27|1,0.76,-284.36|678.15|-98.27|1,0.76,FALSE,537133056
FALSE,Altus Plateau,Tibia Mariner,FALSE,49500020,1009136640,,1038520800:FALSE|530385:FALSE,36.20|792.04|-55.82|1,2.1,36.20|792.04|-55.82|1,2.1,FALSE,1009136640
FALSE,Altus Plateau,Tree Sentinel Duo,TRUE,32511030|32510030,1009398528,,1041510800:FALSE|530335:FALSE,-134.07|851.27|-40.65|1,1.26,-134.07|851.27|-40.65|1,1.26,FALSE,1009398528
FALSE,Altus Plateau,Wormface,FALSE,45800030,1009267968,,1041530800:FALSE|65060:FALSE|65000:FALSE,124.23|775.15|8.42|1,-1.88,124.23|775.15|8.42|1,-1.88,FALSE,1009267968
FALSE,Capital Outskirts,Deathbird,TRUE,49800033,1009530112,,1044530800:FALSE|1044537300:FALSE,-56.57|1026.71|88.77|1,-1.56,-56.57|1026.71|88.77|1,-1.56,TRUE,1009530112
FALSE,Capital Outskirts,Draconic Tree Sentinel,FALSE,32500033,1009595392,,1045520800:FALSE|9290:FALSE|530315:FALSE,40.49|1027.97|28.55|1,2.47,40.49|1027.97|28.55|1,2.47,FALSE,1009595408
FALSE,Capital Outskirts,Grave Warden Duelist,FALSE,34001133,504168448,,30130800:FALSE|9213:FALSE|520130:FALSE,27.96|954.72|65.84|1,2.07,27.96|954.72|65.84|1,2.07,FALSE,504168448
FALSE,Capital Outskirts,Onyx Lord,FALSE,36001933,571211776,34120801:FALSE,34120800:FALSE|9264:FALSE|520640:FALSE,-51.89|711.72|-162.71|1,-0.03,-51.89|711.72|-162.71|1,-0.03,FALSE,571211776
FALSE,Leyndell Royal Capital,Godfrey the First Elden Lord,TRUE,47200134,184549376,11000851:FALSE,11000850:FALSE|9105:FALSE|60520:FALSE,-131.37|29.86|-419.72|1,3.1,-131.37|29.86|-419.72|1,3.1,FALSE,184549376
FALSE,Leyndell Royal Capital,Morgott the Omen King,TRUE,21300534,184549376,11000801:FALSE,11000800:FALSE|9104:FALSE|510040:FALSE|71100:FALSE|11000501:FALSE|11000500:FALSE|11005000:FALSE|11002500:FALSE,3.53|64.98|-372.41|1,-0.6,3.53|64.98|-372.41|1,-0.6,FALSE,184549376
FALSE,Leyndell Royal Capital,Fell Twins,TRUE,21403150|21403050,571342848,34140851:FALSE,34140850:FALSE|9174:FALSE|510740:FALSE|34140865:FALSE,458.95|30.34|-228.61|1,-0.57,458.95|30.34|-228.61|1,-0.57,FALSE,571342848
FALSE,Mt. Gelmir,Abductor Virgins Duo,TRUE,44700938|44701938,268435456,,16000860:FALSE|9129:FALSE|510290:FALSE|71606:FALSE,232.15|-132.95|-230.29|1,-0.09,232.15|-132.95|-230.29|1,-0.09,FALSE,268435456
FALSE,Mt. Gelmir,Demi-Human Queen Maggie,FALSE,41300032,1009071104,,1037530800:FALSE|60450:FALSE,50.11|906.26|117.37|1,2.15,50.11|906.26|117.37|1,2.15,FALSE,1009071104
FALSE,Mt. Gelmir,Demi-Human Queen Margot,FALSE,41301932,520683520,,31090800:FALSE|9240:FALSE|520400:FALSE,-91.80|1013.21|-74.38|1,-1.67,-91.80|1013.21|-74.38|1,-1.67,FALSE,520683520
FALSE,Mt. Gelmir,Full-Grown Fallingstar Beast,TRUE,46800032,1009006080,,1036540800:FALSE,69.47|1058.17|-63.02|1,-2.37,69.47|1058.17|-63.02|1,-2.37,FALSE,1009006080
FALSE,Mt. Gelmir,Kindred of Rot Duo,TRUE,38100932|38102932,520552448,,31070800:FALSE|9239:FALSE|520390:FALSE,-149.20|719.13|245.70|1,-1.9,-149.20|719.13|245.70|1,-1.9,FALSE,520552448
FALSE,Mt. Gelmir,Magma Wyrm,FALSE,49100032,1008940288,,1035530800:FALSE|530390:FALSE,-8.92|823.91|-1.81|1,-0.21,-8.92|823.91|-1.81|1,-0.21,FALSE,1008940288
FALSE,Mt. Gelmir,Red Wolf of the Champion,FALSE,31811032,503906304,,30090800:FALSE|9209:FALSE|520090:FALSE,-142.97|646.55|52.91|1,2.91,-142.97|646.55|52.91|1,2.91,FALSE,503906304
FALSE,Mt. Gelmir,Ulcerated Tree Spirit,FALSE,46400007,1009071616,,1037540810:FALSE|65180:FALSE|65250:FALSE,-116.45|887.61|-58.36|1,-1.31,-116.45|887.61|-58.36|1,-1.31,FALSE,1009071616
FALSE,Caelid,Battlemage Hugues,FALSE,37040940,1009854208,,1049390850:FALSE|1049397850:FALSE,-87.03|164.37|24.84|1,0.33,-87.03|164.37|24.84|1,0.33,FALSE,1009854208
FALSE,Caelid,Cemetery Shade,FALSE,36640012,504299520,,30150800:FALSE|9215:FALSE|520150:FALSE,108.59|24.52|237.53|1,-2.38,108.59|24.52|237.53|1,-2.38,FALSE,504299520
FALSE,Caelid,Cleanrot Knight Duo,TRUE,38001940|38000940,521404416,,31200800:FALSE|9245:FALSE|520450:FALSE,171.09|86.76|127.45|1,-2.77,171.09|86.76|127.45|1,-2.77,FALSE,521404416
FALSE,Caelid,Commander O'Neil,FALSE,30500140,1009853952,,1049380800:FALSE|530405:FALSE|76412:FALSE,-49.99|64.31|84.61|1,-0.62,-49.99|64.31|84.61|1,-0.62,FALSE,1009853952
FALSE,Caelid,Crucible Knight & Misbegotten Warrior,TRUE,25000941|34600941,1009984512,,1051360800:FALSE|9183:FALSE|510830:FALSE|76419:FALSE,80.99|91.84|-15.60|1,3.12,80.99|91.84|-15.60|1,3.12,FALSE,1009984512
FALSE,Caelid,Death Rite Bird,TRUE,49801040,1009853696,,1049370850:FALSE|1049377110:FALSE,46.18|92.86|31.70|1,-1.09,46.18|92.86|31.70|1,-1.09,TRUE,1009853696
FALSE,Caelid,Decaying Ekzykes,FALSE,45010040,1009788160,,1048370800:FALSE|530400:FALSE,-79.86|114.67|2.53|1,-0.64,-79.86|114.67|2.53|1,-0.64,FALSE,1009788160
FALSE,Caelid,Erdtree Burial Watchdog Duo,TRUE,42601940|42600940,504233984,,30140800:FALSE|9214:FALSE|520140:FALSE,-126.46|73.52|-8.38|1,0.02,-126.46|73.52|-8.38|1,0.02,FALSE,504233984
FALSE,Caelid,Fallingstar Beast,TRUE,46801930,537395200,,32080800:FALSE|9267:FALSE|520670:FALSE,-42.26|124.56|244.99|1,1.38,-42.26|124.56|244.99|1,1.38,FALSE,537395200
FALSE,Caelid,Frenzied Duelist,FALSE,34000940,521469952,31210801:FALSE,31210800:FALSE|9243:FALSE|520430:FALSE,-129.57|43.84|73.57|1,0.97,-129.57|43.84|73.57|1,0.97,FALSE,521469952
FALSE,Caelid,Mad Pumpkin Head Duo,TRUE,43400940|43401940,1009788928,,1048400800:FALSE,-114.74|138.42|-109.37|1,3.1,-114.74|138.42|-109.37|1,3.1,FALSE,1009788928
FALSE,Caelid,Magma Wyrm,FALSE,49100940,537329664,,32070800:FALSE|9266:FALSE|520660:FALSE,-13.10|90.89|129.11|1,2.8,-13.10|90.89|129.11|1,2.8,FALSE,537329664
FALSE,Caelid,Night's Cavalry,TRUE,31501040,1009788160,,1049370800:FALSE|1049377100:FALSE,74.54|113.70|-55.36|1,-2.75,74.54|113.70|-55.36|1,-2.75,TRUE,1009788160
FALSE,Caelid,Nox Swordstress & Nox Monk,TRUE,33001940|33000940,1009854208,,1049390800:FALSE|1049397800:FALSE|76415:FALSE,96.34|83.07|60.64|1,-3.13,96.34|83.07|60.64|1,-3.13,FALSE,1009854208
FALSE,Caelid,Putrid Avatar,TRUE,48110040,1009723648,,1047400800:FALSE|65100:FALSE|65280:FALSE,-95.93|127.66|-123.08|1,0.25,-95.93|127.66|-123.08|1,0.25,FALSE,1009723392|1009657856
FALSE,Caelid,Starscourge Radahn,TRUE,47300040,1009984768,1252380801:FALSE,1252380800:FALSE|1252382810:FALSE|9411:TRUE|3613:FALSE|3668:FALSE|76422:FALSE|9412:FALSE|9130:FALSE|510300:FALSE,65.75|0.75|-76.10|1,-2.95,65.75|0.75|-76.10|1,-2.95,FALSE,1010050560|1010050816|1009985280|1009985536|1010051072|504365056|1009985024|1009919232|1009919488|1010115840|1010116096|1010116352
FALSE,Volcano Manor,Godskin Noble,TRUE,35700038,268435456,16000851:FALSE,16000850:FALSE|9121:FALSE|510210:FALSE|71601:FALSE,15.61|6.54|-189.56|1,-1.21,15.61|6.54|-189.56|1,-1.21,FALSE,268435456
FALSE,Volcano Manor,Rykard Lord of Blasphemy,TRUE,47101038,268435456,16000801:FALSE,16000800:FALSE|9122:FALSE|510220:FALSE|71600:FALSE|3109:FALSE|3110:FALSE|3111:FALSE,97.29|-439.51|-34.83|1,0.02,97.29|-439.51|-34.83|1,0.02,FALSE,268435456
FALSE,Greyoll's Dragonbarrow,Beastman of Farum Azula Duo,TRUE,39701942|39702942,520749056,31100801:FALSE,31100800:FALSE|9244:FALSE|520440:FALSE,31.64|125.32|52.56|1,-0.08,31.64|125.32|52.56|1,-0.08,FALSE,520749056
FALSE,Greyoll's Dragonbarrow,Bell Bearing Hunter,TRUE,31000010,1009789184,,1048410800:FALSE|1048417800:FALSE,-86.98|226.50|-89.11|1,0.88,-86.98|226.50|-89.11|1,0.88,TRUE,1009789184
